nama_course,kategori,level,price,jumlah_peserta,content_duration,level,title_clean,rating,num_reviews,benefit
Your Second Course on Piano: Two Handed Playing,Musical Instruments,beginner level,70,1018,5.0,Beginner,your second course on piano: two handed playing,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
How To Play Blues Guitar - Broonzy & McGhee Blues Lessons,Musical Instruments,intermediate level,0,8240,1.5,Intermediate,how to play blues guitar - broonzy & mcghee blues lessons,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Learn basics of South Indian Carnatic Flute Step by Step ,Musical Instruments,beginner level,150,380,4.0,Beginner,learn basics of south indian carnatic flute step by step,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Basic Piano Hymn Playing,Musical Instruments,beginner level,20,1842,1.5,Beginner,basic piano hymn playing,4.0224857,62.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Piano Music Theory (Back To Basics) by JFilt,Musical Instruments,beginner level,0,4967,0.5,Beginner,piano music theory (back to basics) by jfilt,4.418008,2002.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Guitar - 12  Strumming Patterns You Must Know For Guitar,Musical Instruments,beginner level,50,2154,1.0,Beginner,guitar - 12  strumming patterns you must know for guitar,4.3370013,88.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Guitar Lessons for complete beginners - super simple and fun,Musical Instruments,beginner level,20,936,0.6666666666666666,Beginner,guitar lessons for complete beginners - super simple and fun,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Classical Guitar Essentials - The Basics Part 2,Musical Instruments,intermediate level,95,1030,4.5,Intermediate,classical guitar essentials - the basics part 2,4.851166,496.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Introduction to Piano - By PGN Piano!,Musical Instruments,beginner level,0,14922,0.6666666666666666,Beginner,introduction to piano - by pgn piano!,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Keyboard Instruments - Read Sheet Music for Piano Fast!,Musical Instruments,beginner level,50,2788,1.5,Beginner,keyboard instruments - read sheet music for piano fast!,4.598497,74.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
How to Play the Guitar: Your 30-Day Guide to Learn Guitar,Musical Instruments,beginner level,20,2686,6.0,Beginner,how to play the guitar: your 30-day guide to learn guitar,4.3866625,12.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Drumming Accelerator: How To Get The Best Start Possible,Musical Instruments,beginner level,200,1594,1.5,Beginner,drumming accelerator: how to get the best start possible,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Beginner's Guitar Lessons - Crash Course for Busy Adults,Musical Instruments,beginner level,50,1194,2.0,Beginner,beginner's guitar lessons - crash course for busy adults,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Getting Started with the Guitar in 5 Days,Musical Instruments,beginner level,0,270,1.5,Beginner,getting started with the guitar in 5 days,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Piano With Willie: Blues n' Boogie Vol. 1,Musical Instruments,intermediate level,40,172,2.5,Intermediate,piano with willie: blues n' boogie vol. 1,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Play Violin and Fiddle for beginners - it's fun  - Course 1,Musical Instruments,beginner level,20,560,1.0,Beginner,play violin and fiddle for beginners - it's fun  - course 1,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Christmas Piano Songs For The Very Beginner Vol. I,Musical Instruments,beginner level,40,1060,1.5,Beginner,christmas piano songs for the very beginner vol. i,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Play Piano 5: Improvise on Misty Eb Key Runs & 2-5 Chords,Musical Instruments,expert level,50,833,1.5,Expert,play piano 5: improvise on misty eb key runs & 2-5 chords,4.410335,8.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Playing Piano: Scales and Arpeggios Vol.I : Major keys,Musical Instruments,beginner level,50,2358,1.0,Beginner,playing piano: scales and arpeggios vol.i : major keys,4.8212223,20.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Drumming for Beginners - Simple Way To Learn How To Drum,Musical Instruments,beginner level,20,1814,2.0,Beginner,drumming for beginners - simple way to learn how to drum,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
"Jazz Guitar Tips, Tricks and Licks",Musical Instruments,intermediate level,0,9351,2.0,Intermediate,"jazz guitar tips, tricks and licks",4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Piano From Zero To Pro - Beginner Essentials To The Piano,Musical Instruments,beginner level,70,811,3.5,Beginner,piano from zero to pro - beginner essentials to the piano,4.783646,440.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
"Piano: Learn 48 chords in 1 hour,  and always remember how",Musical Instruments,beginner level,120,1424,1.5,Beginner,"piano: learn 48 chords in 1 hour,  and always remember how",4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Beginner Guitar Lessons: Learn To Play Guitar Today (WAVE 1),Musical Instruments,beginner level,45,65,10.0,Beginner,beginner guitar lessons: learn to play guitar today (wave 1),4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
How to speak Pianish (beginner level),Musical Instruments,beginner level,30,545,1.0,Beginner,how to speak pianish (beginner level),4.2358756,8.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Gospel Piano Essentials,Musical Instruments,intermediate level,30,668,11.5,Intermediate,gospel piano essentials,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Guitar Crash Course (No Experience Necessary),Musical Instruments,beginner level,0,5769,1.0,Beginner,guitar crash course (no experience necessary),4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Beginner Guitar Lessons - Your Complete Foundation Course,Musical Instruments,beginner level,60,293,18.5,Beginner,beginner guitar lessons - your complete foundation course,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Piano Building Blocks: Learn the 24 Most Common Chords,Musical Instruments,beginner level,50,492,1.5,Beginner,piano building blocks: learn the 24 most common chords,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Learn to Play the Oboe: Beginner to Pro in Under Four Hours,Musical Instruments,beginner level,50,500,5.0,Beginner,learn to play the oboe: beginner to pro in under four hours,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Country Guitar Fundamentals,Musical Instruments,intermediate level,50,1174,1.5,Intermediate,country guitar fundamentals,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Discover Classical Guitar Level 1,Musical Instruments,beginner level,25,1513,1.5,Beginner,discover classical guitar level 1,4.6963596,129.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
PI-101 Top 10 Classical Piano Pieces for Beginners,Musical Instruments,beginner level,0,6292,1.0,Beginner,pi-101 top 10 classical piano pieces for beginners,4.130424,947.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Get started playing blues harmonica,Musical Instruments,beginner level,0,6853,0.6166666666666667,Beginner,get started playing blues harmonica,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Rockabilly Guitar For Beginners,Musical Instruments,beginner level,40,475,2.0,Beginner,rockabilly guitar for beginners,4.646602,697.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Beginner Piano,Musical Instruments,beginner level,20,776,4.0,Beginner,beginner piano,4.7274947,2086.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Step by Step Tabla Course- Indian Drums,Musical Instruments,beginner level,20,1337,1.0,Beginner,step by step tabla course- indian drums,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
101 Blues riffs - learn how the harmonica superstars do it,Musical Instruments,intermediate level,200,1350,6.5,Intermediate,101 blues riffs - learn how the harmonica superstars do it,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Guitar: Master The Guitar Fretboard In 6 Easy Steps,Musical Instruments,beginner level,55,1203,1.0,Beginner,guitar: master the guitar fretboard in 6 easy steps,4.856441,131.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Play Piano in 30 Days! - Start Playing NOW!,Musical Instruments,beginner level,0,5188,3.0,Beginner,play piano in 30 days! - start playing now!,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Curso de Didgeridoo nivel principiante,Musical Instruments,beginner level,50,0,1.0,Beginner,curso de didgeridoo nivel principiante,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Modern Rock Guitar Techniques,Musical Instruments,intermediate level,50,3157,3.0,Intermediate,modern rock guitar techniques,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Guitar Super System Level 1,Musical Instruments,intermediate level,50,10869,5.0,Intermediate,guitar super system level 1,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Guitar Super System Level 2,Musical Instruments,expert level,50,4192,1.5,Expert,guitar super system level 2,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Ultimate Beginner Guitar Masterclass,Musical Instruments,beginner level,200,8113,11.5,Beginner,ultimate beginner guitar masterclass,4.6335206,7441.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
"Learn guitar the Right way! Complete 'KickStarter course""",Musical Instruments,beginner level,150,2102,9.0,Beginner,"learn guitar the right way! complete 'kickstarter course""",4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Learn to Play Piano From a Concert Pianist - For Beginners,Musical Instruments,beginner level,200,3206,1.0,Beginner,learn to play piano from a concert pianist - for beginners,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
#12 Hand Coordination: Let your Hands dance with Ballad 9,Musical Instruments,intermediate level,75,482,1.5,Intermediate,#12 hand coordination: let your hands dance with ballad 9,4.6550927,2.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
How To Play Guitar - For Absolute Beginners,Musical Instruments,beginner level,35,478,1.0,Beginner,how to play guitar - for absolute beginners,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Learn How to Improvise on Guitar in 30 Days,Musical Instruments,beginner level,200,1788,6.0,Beginner,learn how to improvise on guitar in 30 days,4.8448653,861.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
The Best Beginner Guitar Course Ever,Musical Instruments,beginner level,50,1976,1.0,Beginner,the best beginner guitar course ever,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Guitar: Learn 10 CCR Guitar Chord Progressions,Musical Instruments,beginner level,50,2045,2.0,Beginner,guitar: learn 10 ccr guitar chord progressions,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Getting Started with Playing Guitar,Musical Instruments,beginner level,0,47652,4.0,Beginner,getting started with playing guitar,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Piano Playing: Reading and Playing Classical Tunes Vol.II,Musical Instruments,beginner level,40,1638,1.5,Beginner,piano playing: reading and playing classical tunes vol.ii,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Harmonica Jamz: The Only Course on Jammin' with Friends,Musical Instruments,beginner level,60,568,5.0,Beginner,harmonica jamz: the only course on jammin' with friends,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Guitar - Learn 10 Legendary Chord Progressions for Guitar,Musical Instruments,beginner level,55,3013,1.5,Beginner,guitar - learn 10 legendary chord progressions for guitar,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Guitar - Blues Guitar for Beginners,Musical Instruments,beginner level,45,2795,1.0,Beginner,guitar - blues guitar for beginners,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Electric Guitar for Beginners - RockStarter Level 1,Musical Instruments,beginner level,40,491,2.5,Beginner,electric guitar for beginners - rockstarter level 1,4.3607864,39.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
The Circle of Fifths for Guitarists,Musical Instruments,intermediate level,50,1018,1.5,Intermediate,the circle of fifths for guitarists,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Essential Theory and Technique for Guitar,Musical Instruments,beginner level,0,2285,2.0,Beginner,essential theory and technique for guitar,4.396274,542.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Piano for Complete Beginners: Learn your first song today!,Musical Instruments,beginner level,40,1268,1.0,Beginner,piano for complete beginners: learn your first song today!,4.4003525,14.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Master Class Piano Techniques: Tips To EZ Coordinate 2 Hands,Musical Instruments,intermediate level,95,2026,2.5,Intermediate,master class piano techniques: tips to ez coordinate 2 hands,4.2984467,7.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Learn all Piano Chords in all Piano Scales with logic,Musical Instruments,beginner level,45,969,1.0,Beginner,learn all piano chords in all piano scales with logic,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Learn to play the piano or keyboard from scratch,Musical Instruments,beginner level,145,1987,14.0,Beginner,learn to play the piano or keyboard from scratch,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
5 Exotic Guitar Scales and How to Use Them Effectively,Musical Instruments,intermediate level,50,1319,1.0,Intermediate,5 exotic guitar scales and how to use them effectively,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Learn 4 Chords and Play Thousands of Songs!,Musical Instruments,beginner level,20,4560,1.5,Beginner,learn 4 chords and play thousands of songs!,4.0945396,250.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
#10 Hand Coordination - Transfer Chord Ballad 9 - C & Bb Key,Musical Instruments,intermediate level,75,1593,1.0,Intermediate,#10 hand coordination - transfer chord ballad 9 - c & bb key,5.0,1.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Guitar Chord Mastery!Turn Your Brain Into A Chord Encyclopia,Musical Instruments,intermediate level,200,4133,28.5,Intermediate,guitar chord mastery!turn your brain into a chord encyclopia,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
A new approach to piano and playing songs for beginners,Musical Instruments,beginner level,50,7140,1.5,Beginner,a new approach to piano and playing songs for beginners,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Learn Guitar: Zero to Guitar Fingerpicking in 30 days,Musical Instruments,beginner level,50,1495,2.5,Beginner,learn guitar: zero to guitar fingerpicking in 30 days,4.7309623,2273.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
#5  Piano Hand Coordination:  Piano Runs in 2 Beats Eb Key,Musical Instruments,intermediate level,75,940,0.6166666666666667,Intermediate,#5  piano hand coordination:  piano runs in 2 beats eb key,4.7243495,4.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Modern Country Guitar: Technique Booster,Musical Instruments,intermediate level,30,1152,2.5,Intermediate,modern country guitar: technique booster,4.5505147,108.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
"Blues Guitar Lessons for Beginners: Chords, Rhythm and Lead",Musical Instruments,beginner level,95,2558,3.0,Beginner,"blues guitar lessons for beginners: chords, rhythm and lead",4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
#4 Piano Hand Coordination: Fun Piano Runs in 2 Beats C Key,Musical Instruments,intermediate level,75,850,1.0,Intermediate,#4 piano hand coordination: fun piano runs in 2 beats c key,2.974461,4.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
3 step formula for playing guitar by ear,Musical Instruments,beginner level,25,3937,1.5,Beginner,3 step formula for playing guitar by ear,4.5638533,62.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Piano for Singer/Songwriters | Write Songs and Perform Live!,Musical Instruments,beginner level,100,3371,3.0,Beginner,piano for singer/songwriters | write songs and perform live!,4.20508,1031.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Fun Beginner Ukulele Course,Musical Instruments,beginner level,55,1409,1.5,Beginner,fun beginner ukulele course,4.6923203,1711.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Learn Guitar in 21 Days,Musical Instruments,beginner level,20,26504,2.5,Beginner,learn guitar in 21 days,4.034725,3332.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Fun Ukulele Strumming Course,Musical Instruments,beginner level,45,3141,1.0,Beginner,fun ukulele strumming course,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
The Allman Brothers Guitar Roots And Techniques,Musical Instruments,intermediate level,75,2692,1.5,Intermediate,the allman brothers guitar roots and techniques,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Blues Guitar Fundamentals,Musical Instruments,intermediate level,50,3312,1.5,Intermediate,blues guitar fundamentals,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
#6 Piano Hand Coordination: Play Open 10 Ballad to 9/4 Song,Musical Instruments,intermediate level,65,2015,0.7333333333333333,Intermediate,#6 piano hand coordination: play open 10 ballad to 9/4 song,4.763337,3.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
#7 Piano Hand Coordination: Play Piano Runs in 3 Beats 9/4,Musical Instruments,intermediate level,65,2015,1.0,Intermediate,#7 piano hand coordination: play piano runs in 3 beats 9/4,5.0,2.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Beginner Level Popular Piano Program - Month 1,Musical Instruments,beginner level,30,7,1.0,Beginner,beginner level popular piano program - month 1,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Guitar Lessons - Blind Blake - King Of Ragtime Blues Guitar,Musical Instruments,expert level,20,65,4.0,Expert,guitar lessons - blind blake - king of ragtime blues guitar,4.8346305,23.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Darbuka Drumming: Learn how to play the Darbuka Dounbek,Musical Instruments,beginner level,0,1094,1.0,Beginner,darbuka drumming: learn how to play the darbuka dounbek,4.008203,217.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Awesome Lead Guitar 1,Musical Instruments,beginner level,25,60,4.5,Beginner,awesome lead guitar 1,4.6904364,18.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Didgeridoo - from zero to HERO! Part Two. Intermediate.,Musical Instruments,intermediate level,35,55,2.0,Intermediate,didgeridoo - from zero to hero! part two. intermediate.,4.7454185,94.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Acoustic Blues Guitar Lessons,Musical Instruments,intermediate level,0,8217,1.0,Intermediate,acoustic blues guitar lessons,4.781535,141.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Beginner Step by Step Keharwa Theka Tabla Course,Musical Instruments,beginner level,20,916,0.6666666666666666,Beginner,beginner step by step keharwa theka tabla course,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Just chords Piano: Learn to Play Piano Quickly - No Music,Musical Instruments,beginner level,85,2357,5.0,Beginner,just chords piano: learn to play piano quickly - no music,4.775727,117.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Acoustic Blues Guitar Lessons,Musical Instruments,intermediate level,125,1284,12.5,Intermediate,acoustic blues guitar lessons,4.781535,141.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
The 80/20 Beginner Guitar Course,Musical Instruments,beginner level,50,1269,3.0,Beginner,the 80/20 beginner guitar course,4.666444,41.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Drums for Beginners,Musical Instruments,beginner level,0,1618,3.0,Beginner,drums for beginners,4.680598,221.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Digital Pianist Course-Learn Piano & Keyboard Fast & Easy,Musical Instruments,beginner level,150,89,3.0,Beginner,digital pianist course-learn piano & keyboard fast & easy,4.5340333,33.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Learn to play guitar and sing at the same time,Musical Instruments,beginner level,45,66,1.0,Beginner,learn to play guitar and sing at the same time,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Introduction to Ukulele 1,Musical Instruments,beginner level,20,630,1.0,Beginner,introduction to ukulele 1,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Learn Flute FAST!,Musical Instruments,beginner level,45,249,4.0,Beginner,learn flute fast!,4.4862747,264.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Guitar Lessons - Soloing With Arpeggios - Essential Guide ,Musical Instruments,intermediate level,45,198,5.0,Intermediate,guitar lessons - soloing with arpeggios - essential guide,4.342509,120.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Piano With Willie: Blues n' Boogie Vol. 3,Musical Instruments,intermediate level,40,84,2.5,Intermediate,piano with willie: blues n' boogie vol. 3,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Piano Lessons For Beginners: Learn Piano Quickly And Easily,Musical Instruments,beginner level,75,186,3.0,Beginner,piano lessons for beginners: learn piano quickly and easily,4.2236896,386.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
The Easy Beginner Drum Course,Musical Instruments,beginner level,25,21,0.5,Beginner,the easy beginner drum course,4.460511,51.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Instant Harmonica - play Somewhere Over the Rainbow now!,Musical Instruments,beginner level,40,431,1.0,Beginner,instant harmonica - play somewhere over the rainbow now!,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Instant Harmonica - play The Kesh (part 2) - easy and fun!,Musical Instruments,beginner level,20,53,0.5833333333333334,Beginner,instant harmonica - play the kesh (part 2) - easy and fun!,4.784678,5.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Ukulele 2 : Level 1 KEY OF C AND STRUMS,Musical Instruments,beginner level,20,26,1.0,Beginner,ukulele 2 : level 1 key of c and strums,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Guitar for Music Educators: Learning How to Teach Guitar,Musical Instruments,beginner level,20,32,1.5,Beginner,guitar for music educators: learning how to teach guitar,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Guitar Solo - Theory and Improvisation Lessons,Musical Instruments,intermediate level,60,12,1.5,Intermediate,guitar solo - theory and improvisation lessons,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Bluegrass Guitar Essentials: Webisodes 3 & 4,Musical Instruments,intermediate level,30,12,2.0,Intermediate,bluegrass guitar essentials: webisodes 3 & 4,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Bluegrass Guitar Essentials: Webisodes 5 & 6,Musical Instruments,intermediate level,30,11,3.0,Intermediate,bluegrass guitar essentials: webisodes 5 & 6,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Trombone Lessons For Beginners,Musical Instruments,beginner level,95,11,3.0,Beginner,trombone lessons for beginners,4.1966066,77.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Rhythm to Rock Drum Lesson 6,Musical Instruments,beginner level,20,12,1.5,Beginner,rhythm to rock drum lesson 6,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
How To Play Guitar - Everything You Need To Know To Start,Musical Instruments,beginner level,50,5,1.0,Beginner,how to play guitar - everything you need to know to start,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Learn to play tunes by ear on harmonica - no written music,Musical Instruments,intermediate level,35,73,2.0,Intermediate,learn to play tunes by ear on harmonica - no written music,4.720951,7.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
"Music Theory, Guitar and Ear Training",Musical Instruments,beginner level,60,30,3.0,Beginner,"music theory, guitar and ear training",4.542033,195.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Piano With Willie: Tritones & Phat Chords,Musical Instruments,intermediate level,40,37,2.0,Intermediate,piano with willie: tritones & phat chords,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Piano for Kids: Developing Your Child's Creative Abilities,Musical Instruments,beginner level,65,42,4.0,Beginner,piano for kids: developing your child's creative abilities,3.9164245,35.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Piano Lessons For The Hip Hop Fan,Musical Instruments,intermediate level,20,276,5.5,Intermediate,piano lessons for the hip hop fan,3.356882,8.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Bluegrass Guitar Essentials: Webisodes 9 & 10,Musical Instruments,intermediate level,30,10,2.0,Intermediate,bluegrass guitar essentials: webisodes 9 & 10,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Clarinet Lessons For Beginners,Musical Instruments,beginner level,95,11,3.0,Beginner,clarinet lessons for beginners,4.3020406,27.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Play music on Harmonica using 8 notes - learn easy tunes!,Musical Instruments,beginner level,35,29,1.0,Beginner,play music on harmonica using 8 notes - learn easy tunes!,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Learn Piano Online-A Quiet Solace Piano Solo,Musical Instruments,intermediate level,50,7,1.0,Intermediate,learn piano online-a quiet solace piano solo,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Bluegrass Guitar Essentials: Webisodes 7 & 8,Musical Instruments,intermediate level,30,9,2.0,Intermediate,bluegrass guitar essentials: webisodes 7 & 8,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
The Art of the Blues Shuffle - A Guitarist's Guide,Musical Instruments,intermediate level,20,8,1.5,Intermediate,the art of the blues shuffle - a guitarist's guide,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Learn Piano Online-Ambiance Piano Solo,Musical Instruments,intermediate level,50,8,1.0,Intermediate,learn piano online-ambiance piano solo,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Piano Lessons For Beginners,Musical Instruments,beginner level,95,8,4.0,Beginner,piano lessons for beginners,3.9824338,11.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
The Theory & Practice of Modes on the Guitar,Musical Instruments,intermediate level,35,17,1.5,Intermediate,the theory & practice of modes on the guitar,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
Violin for Beginners,Musical Instruments,beginner level,50,4,0.7333333333333333,Beginner,violin for beginners,4.533372,15.0,Meningkatkan pengetahuan dan keterampilan di bidang Musical Instruments
